1000, 1500
x軸, y軸（補正なし）, ypos（補正あり）
665, 380, 277
663, 390, 272
669, 393, 270
665, 390, 272
667, 391, 271
667, 391, 271
666, 390, 272
666, 391, 271
666, 391, 271
666, 390, 272
667, 391, 271
665, 390, 272
666, 390, 272
665, 390, 272
663, 390, 272
666, 390, 272
665, 390, 272
666, 390, 272
665, 391, 271
666, 391, 271
663, 390, 272
665, 390, 272
667, 391, 271
660, 391, 271
665, 391, 271
666, 390, 272
666, 391, 271
666, 391, 271
667, 391, 271
666, 390, 272
667, 391, 271
667, 390, 272
663, 390, 272
666, 390, 272
665, 390, 272
666, 391, 271
666, 390, 272
667, 393, 270
663, 390, 272
666, 390, 272
665, 391, 271
665, 391, 271
665, 390, 272
665, 390, 272
666, 390, 272
666, 390, 272
666, 391, 271
666, 390, 272
667, 391, 271
665, 390, 272
665, 390, 272
666, 390, 272
666, 390, 272
